KPI,MatchID,BowlerID,BowlerName,StrikerID,BatsManName,TotalRunsConceded,BowlingAverage,TotalLegalBallsBowled,BowlingSR,EconomyRate,DotBallsBowled,ScoringBalls,Ones,Twoes,Threes,Bdry4,Bdry6,Wides,NoBalls,Wickets,RunOutsDone,BowledOutsDone,StumpingsDone,BowlingDotBallPercentage,BowlingDotBallFrequency,BowlingBdryPercentage,BowlingBdryFrequency
Head To Head,1355,2019-100mb00000000116-dbd48930449611,Kagiso Rabada,2019-100mb00000000214-df216bed44bc11,David Warner,10,0.00,5,0.00,12.00,3,2,0,0,0,1,1,0,0,0,0,0,0,60.00,1.67,100.00,2.50
Head To Head,1355,2019-100mb00000000116-dbd48930449611,Kagiso Rabada,2019-100mb00000000219-05e95a2044c011,Ricky Bhui,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1355,2019-100mb00000000116-dbd48930449611,Kagiso Rabada,2019-100mb00000000268-22e2e3987add11,Shai Hope,8,8.00,5,5.00,9.60,2,3,2,0,0,0,1,0,0,1,0,0,0,40.00,2.50,75.00,5.00
Head To Head,1355,2019-100mb00000000116-dbd48930449611,Kagiso Rabada,2022-100mb00000001535-6fd8867c54e911,Sumit Kumar,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1355,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,2018-100mb00000000014-227bc550e99c11,Kuldeep Yadav,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1355,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,2018-100mb00000000040-7f15f6c7f88a11,Mitchell Marsh,6,6.00,2,2.00,18.00,1,1,0,0,0,0,1,0,0,1,0,0,0,50.00,2.00,100.00,2.00
Head To Head,1355,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,2019-100mb00000000110-79ae08f5449411,Axar Patel,6,0.00,4,0.00,9.00,2,2,0,1,0,1,0,0,0,0,0,0,0,50.00,2.00,66.67,4.00
Head To Head,1355,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,2019-100mb00000000214-df216bed44bc11,David Warner,10,0.00,6,0.00,11.00,4,2,0,0,0,1,1,1,0,0,0,0,0,66.67,1.50,100.00,3.00
Head To Head,1355,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,2019-100mb00000000268-22e2e3987add11,Shai Hope,1,0.00,4,0.00,1.50,3,1,1,0,0,0,0,0,0,0,0,0,0,75.00,1.33,0.00,0.00
Head To Head,1355,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1355,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,2022-100mb00000001535-6fd8867c54e911,Sumit Kumar,0,0.00,3,3.00,2.00,3,0,0,0,0,0,0,1,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1355,2019-100mb00000000125-2485f88b449911,Arshdeep Singh,2022-100mb00000001580-2e206f715b5511,Abishek Porel,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000130-89338eb7449a11,Harpreet Brar,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,2,0.00,3,0.00,4.00,1,2,2,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1355,2019-100mb00000000130-89338eb7449a11,Harpreet Brar,2019-100mb00000000110-79ae08f5449411,Axar Patel,5,0.00,3,0.00,10.00,1,2,1,0,0,1,0,0,0,0,0,0,0,33.33,3.00,80.00,3.00
Head To Head,1355,2019-100mb00000000130-89338eb7449a11,Harpreet Brar,2019-100mb00000000214-df216bed44bc11,David Warner,1,0.00,2,0.00,3.00,1,1,1,0,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1355,2019-100mb00000000130-89338eb7449a11,Harpreet Brar,2019-100mb00000000219-05e95a2044c011,Ricky Bhui,0,0.00,2,2.00,0.00,2,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1355,2019-100mb00000000130-89338eb7449a11,Harpreet Brar,2019-100mb00000000268-22e2e3987add11,Shai Hope,5,0.00,7,0.00,4.29,2,5,5,0,0,0,0,0,0,0,0,0,0,28.57,3.50,0.00,0.00
Head To Head,1355,2019-100mb00000000130-89338eb7449a11,Harpreet Brar,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000138-5bd8fcf6449d11,Sam Curran,2018-100mb00000000040-7f15f6c7f88a11,Mitchell Marsh,8,0.00,5,0.00,10.80,3,2,0,0,0,2,0,1,0,0,0,0,0,60.00,1.67,100.00,2.50
Head To Head,1355,2019-100mb00000000138-5bd8fcf6449d11,Sam Curran,2019-100mb00000000214-df216bed44bc11,David Warner,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,7,0.00,5,0.00,8.40,1,4,3,0,0,1,0,0,0,0,0,0,0,20.00,5.00,57.14,5.00
Head To Head,1355,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar,2019-100mb00000000110-79ae08f5449411,Axar Patel,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar,2019-100mb00000000214-df216bed44bc11,David Warner,2,0.00,2,0.00,6.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar,2019-100mb00000000219-05e95a2044c011,Ricky Bhui,2,0.00,3,0.00,4.00,1,2,2,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1355,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar,2019-100mb00000000268-22e2e3987add11,Shai Hope,18,0.00,8,0.00,13.50,1,7,4,0,0,2,1,0,0,0,0,0,0,12.50,8.00,77.78,2.67
Head To Head,1355,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,3,3.00,3,3.00,6.00,1,2,1,1,0,0,0,0,0,1,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1355,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar,2022-100mb00000001535-6fd8867c54e911,Sumit Kumar,0,0.00,2,0.00,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1355,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed,2018-100mb00000000011-cbf5eb14e99b11,Shikhar Dhawan,9,0.00,4,0.00,13.50,1,3,1,0,0,2,0,0,0,0,0,0,0,25.00,4.00,88.89,2.00
Head To Head,1355,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed,2019-100mb00000000130-89338eb7449a11,Harpreet Brar,2,0.00,2,0.00,6.00,1,1,0,1,0,0,0,0,0,0,0,0,0,50.00,2.00,0.00,0.00
Head To Head,1355,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh,8,0.00,2,0.00,24.00,0,2,0,0,0,2,0,0,0,0,0,0,0,0.00,0.00,100.00,1.00
Head To Head,1355,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed,2019-100mb00000000138-5bd8fcf6449d11,Sam Curran,5,5.00,8,8.00,3.75,4,4,3,1,0,0,0,0,0,1,0,1,0,50.00,2.00,0.00,0.00
Head To Head,1355,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed,2019-100mb00000000183-f4a991db44b611,Liam Livingstone,11,0.00,5,0.00,13.20,0,5,3,0,0,2,0,0,0,0,0,0,0,0.00,0.00,72.73,2.50
Head To Head,1355,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed,2019-100mb00000000191-df21803b44b711,Shashank Singh,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1355,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed,2019-100mb00000000216-33c1188144bd11,Jonny Bairstow,8,0.00,2,0.00,24.00,0,2,0,0,0,2,0,0,0,0,0,0,0,0.00,0.00,100.00,1.00
Head To Head,1355,2018-100mb00000000014-227bc550e99c11,Kuldeep Yadav,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh,2,2.00,3,3.00,4.00,1,2,2,0,0,0,0,0,0,1,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1355,2018-100mb00000000014-227bc550e99c11,Kuldeep Yadav,2019-100mb00000000138-5bd8fcf6449d11,Sam Curran,11,0.00,12,0.00,6.00,3,8,7,0,0,1,0,0,0,0,0,0,0,25.00,4.00,36.36,12.00
Head To Head,1355,2018-100mb00000000014-227bc550e99c11,Kuldeep Yadav,2019-100mb00000000183-f4a991db44b611,Liam Livingstone,4,0.00,4,0.00,6.00,0,4,4,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2018-100mb00000000014-227bc550e99c11,Kuldeep Yadav,2022-100mb00000001000-d90666b7a44d11,Jitesh Sharma,3,3.00,5,5.00,3.60,2,3,3,0,0,0,0,0,0,1,0,0,1,40.00,2.50,0.00,0.00
Head To Head,1355,2018-100mb00000000040-7f15f6c7f88a11,Mitchell Marsh,2018-100mb00000000011-cbf5eb14e99b11,Shikhar Dhawan,8,0.00,5,0.00,9.60,1,4,2,1,0,1,0,0,0,0,0,0,0,20.00,5.00,50.00,5.00
Head To Head,1355,2018-100mb00000000040-7f15f6c7f88a11,Mitchell Marsh,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
