MatchID,InningsNo,TeamID,PlayerID,PlayerName,Score,FallScore,FallWickets,FallOvers
1447,1,18,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal,4/1(0.4),4,1,0.4
1447,1,18,2019-100mb00000000190-c62cbae544b711,Sanju Samson,40/2(6.4),40,2,6.4
1447,1,18,2024-100mb00000003113-2383ca53dfa011,Tom Kohler- Cadmore,42/3(7.2),42,3,7.2
1447,1,18,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,92/4(12.6),92,4,12.6
1447,1,18,2022-100mb00000001004-da6e207ea44e11,Dhruv Jurel,97/5(13.3),97,5,13.3
1447,1,18,2019-100mb00000000329-bee19eaeb1e711,Rovman Powell,102/6(14.3),102,6,14.3
1447,1,18,2023-100mb00000002033-4a1cf416d08711,Donovan Ferreira,125/7(17.3),125,7,17.3
1447,1,18,2019-100mb00000000189-ac8c327a44b711,Riyan Parag,138/8(19.2),138,8,19.2
1447,1,18,2019-100mb00000000066-573f78a31e3711,Trent Boult,144/9(19.6),144,9,19.6
1447,2,15,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh,6/1(0.4),6,1,0.4
1447,2,15,2022-100mb00000001426-5cf9b7f5336311,Rilee Rossouw,36/2(4.3),36,2,4.3
1447,2,15,2019-100mb00000000191-df21803b44b711,Shashank Singh,36/3(4.5),36,3,4.5
1447,2,15,2019-100mb00000000216-33c1188144bd11,Jonny Bairstow,48/4(7.6),48,4,7.6
1447,2,15,2022-100mb00000001000-d90666b7a44d11,Jitesh Sharma,111/5(15.4),111,5,15.4
1449,1,77,2019-100mb00000000200-1283ad3244ba11,Devdutt Padikkal,1/1(0.3),1,1,0.3
1449,1,77,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,49/2(5.6),49,2,5.6
1449,1,77,2019-100mb00000000215-f86e728844bc11,Deepak Hooda,69/3(9.3),69,3,9.3
1449,1,77,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,178/4(16.5),178,4,16.5
1449,1,77,2022-100mb00000000988-ad5c752aa44a11,Arshad Khan,178/5(16.6),178,5,16.6
1449,1,77,2018-100mb00000000019-80e59e32e99c11,K L Rahul,178/6(17.1),178,6,17.1
1449,2,17,202265c5509b72a911ec8ab502ab46c,Dewald Brevis,88/1(8.4),88,1,8.4
1449,2,17,2019-100mb00000000174-619a804244af11,Suryakumar Yadav,89/2(9.2),89,2,9.2
1449,2,17,2018-100mb00000000006-2cf4bba8e99b11,Rohit Sharma,97/3(10.5),97,3,10.5
1449,2,17,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,116/4(13.3),116,4,13.3
1449,2,17,2022-100mb00000001541-e0ad58e954e911,Nehal Wadhera,120/5(14.2),120,5,14.2
1449,2,17,2019-100mb00000000164-8ae075db44ad11,Ishan Kishan,188/6(19.3),188,6,19.3
0,0,0,0,0,0,0,0,0
1450,1,19,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,78/1(9.4),78,1,9.4
1450,1,19,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,113/2(12.6),113,2,12.6
1450,1,19,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,184/3(17.4),184,3,17.4
1450,1,19,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,201/4(18.5),201,4,18.5
1450,1,19,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,218/5(19.5),218,5,19.5
1450,2,13,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,0/1(0.1),0,1,0.1
1450,2,13,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,19/2(2.2),19,2,2.2
1450,2,13,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,85/3(9.1),85,3,9.1
1450,2,13,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,115/4(12.6),115,4,12.6
1450,2,13,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,119/5(13.4),119,5,13.4
1450,2,13,2019-100mb00000000075-0984e17e1e4011,Mitchell Santner,129/6(14.6),129,6,14.6
1450,2,13,2019-100mb00000000057-57100cf415ba11,MS Dhoni,190/7(19.2),190,7,19.2
1451,1,15,2022-100mb00000001001-14df7b35a44e11,Atharva Taide,97/1(9.1),97,1,9.1
1451,1,15,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh,151/2(14.2),151,2,14.2
1451,1,15,2019-100mb00000000191-df21803b44b711,Shashank Singh,174/3(15.6),174,3,15.6
1451,1,15,2022-100mb00000001426-5cf9b7f5336311,Rilee Rossouw,181/4(17.2),181,4,17.2
1451,1,15,2024-100mb00000003109-b7f98c40df9d11,Ashutosh Sharma,187/5(18.1),187,5,18.1
1451,2,20,2018-100mb00000000037-4e250de6f88a11,Travis Head,0/1(0.1),0,1,0.1
1451,2,20,2019-100mb00000000188-896b509b44b711,Rahul Tripathi,72/2(4.6),72,2,4.6
1451,2,20,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,129/3(10.1),129,3,10.1
1451,2,20,2023-100mb00000001944-c9a4b0e8c40511,Nitish Kumar Reddy,176/4(13.6),176,4,13.6
1451,2,20,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,197/5(16.5),197,5,16.5
1451,2,20,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,208/6(18.2),208,6,18.2
0,0,0,0,0,0,0,0,0
1453,1,20,2018-100mb00000000037-4e250de6f88a11,Travis Head,0/1(0.2),0,1,0.2
1453,1,20,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,13/2(1.5),13,2,1.5
1453,1,20,2023-100mb00000001944-c9a4b0e8c40511,Nitish Kumar Reddy,39/3(4.5),39,3,4.5
1453,1,20,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,39/4(4.6),39,4,4.6
1453,1,20,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,101/5(10.6),101,5,10.6
1453,1,20,2019-100mb00000000188-896b509b44b711,Rahul Tripathi,121/6(13.2),121,6,13.2
1453,1,20,2023-100mb00000001943-b03b1676c40511,Sanvir Singh,121/7(13.3),121,7,13.3
1453,1,20,2020-100mb00000000525-4d2e1ac6639511,Abdul Samad,125/8(14.4),125,8,14.4
1453,1,20,2018-100mb00000000015-3501d442e99c11,Bhuvneshwar Kumar,126/9(15.6),126,9,15.6
1453,1,20,2018-100mb00000000033-d93110bbf88911,Pat Cummins,159/10(19.3),159,10,19.3
1453,2,16,2021-100mb00000000641-324bd4322fe511,Rahmanullah Gurbaz,44/1(3.2),44,1,3.2
1453,2,16,2019-100mb00000000156-a6b6f42c44aa11,Sunil Narine,67/2(6.2),67,2,6.2
1454,1,19,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,37/1(4.4),37,1,4.4
